date,ward_id,consumption_m3,num_connections,hour,day,month,day_of_week,day_of_year,week_of_year,is_weekend,is_peak_hour,time_of_day,hour_sin,hour_cos,day_sin,day_cos,consumption_lag_1d,consumption_lag_7d,consumption_lag_14d,consumption_lag_30d,consumption_rolling_mean_7d,consumption_rolling_mean_14d,consumption_rolling_mean_30d
2025-07-31,1,4.0245818768600765,564,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,9.215348648783662,17.30820735356608,27.60811933560931,17.93278345821433,7.0521863355405685,9.978822056488422,13.713903658651459
2025-07-31,2,13.142111209991864,613,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,14.981095722442168,4.108512775105763,8.969840795807166,17.620296209361445,15.869260981248008,17.780804485434057,17.837812298657614
2025-07-31,3,31.52558728192512,669,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,1.9940825470849888,18.96684358364608,44.4647976861552,46.58273963985869,19.749056332718332,20.77562792229494,20.636368651063584
2025-07-31,4,29.685617046744063,704,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,13.960763522370732,8.728942575593452,27.399518990395286,1.853818804147807,17.29877760591806,13.416809378179115,14.448880716819428
2025-07-31,5,16.33850282143808,743,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,38.04826767773413,10.703661246388528,1.1683779236542602,33.37566977357736,19.486101898671958,16.105239340705936,14.677731397942487
2025-07-31,6,6.4078475792339145,816,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,27.584536109046358,19.87227643327291,35.136224896660615,20.19777237024868,15.854569124717477,17.012588803508997,19.851680860610465
2025-07-31,7,17.52823602326714,838,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,38.148602919136856,20.09649513477248,19.89652174512469,36.93595929449287,22.197696205680447,25.153910379413105,20.79722029632431
2025-07-31,8,10.898320153566898,893,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,2.171664033864114,12.8966196320727,5.88679949930999,1.701301007911342,15.666767460665929,13.398516187974947,12.474533351982815
2025-07-31,9,6.482019860275671,963,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,18.21569982992172,17.936980928008186,12.61971251311762,5.240673234959292,14.896325587300352,15.112643242253343,14.884371118815084
2025-07-31,10,3.310642458567456,1001,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,14.12098407719354,18.93427260265916,8.386455101594086,32.44378391840858,17.58975344751882,17.179273621208676,20.008977774034502
2025-07-31,11,34.690836652501424,1045,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,0.8300383901221007,17.925782842411433,4.40303658346291,5.874973354580554,11.193292295013139,14.655317882565,16.44467768555324
2025-07-31,12,9.4220577280454,1101,0,31,7,3,212,31,0,0,night,0.0,1.0,-0.4862727071086902,-0.8738071036110807,14.41034691059692,25.659837823607543,8.034889687126201,8.049120919412887,8.010498363283135,10.498639748735554,10.83487837887068
2025-08-01,1,10.539743840864814,546,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,4.0245818768600765,1.1408090843881362,22.322650110080712,7.854029574744954,8.394891300751523,9.137185894401572,13.80342746752212
2025-08-01,2,32.0249262647721,587,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,13.142111209991864,30.233323653258196,40.54614554067244,4.59006669258701,16.125204211464283,17.17214596572689,18.752307617730448
2025-08-01,3,3.658410160424909,636,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,31.52558728192512,36.72670945291486,16.563879104479938,8.063226530639822,15.02501357664834,19.853808712005296,20.489541438723087
2025-08-01,4,21.896141593253123,689,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,29.685617046744063,12.911875580154447,15.250446792467688,37.00938316890236,18.58224417921787,13.891501863949506,13.94510599763112
2025-08-01,5,18.585675188324828,748,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,16.33850282143808,7.175276212575642,12.845684632404268,9.734589275361678,21.11615889520755,16.515238666128834,14.972767595041258
2025-08-01,6,23.55906980186548,781,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,6.4078475792339145,19.366715152712644,20.78943426191131,39.52888364671556,16.453476931739313,17.21041991350572,19.319353732448793
2025-08-01,7,33.75789248834361,857,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,17.52823602326714,32.6550362841891,18.201435154542292,22.354735623081684,22.35524709198824,26.265085903256058,21.17732552516637
2025-08-01,8,20.91624941834997,897,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,10.898320153566898,28.95474886052327,18.411809718170527,13.170146619129817,14.518410397498315,13.577404737987763,12.732736778623488
2025-08-01,9,3.925007673262448,936,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,6.482019860275671,2.594884816072535,7.2017381301131564,12.597578325481065,15.086343138327482,14.878591066764006,14.595285430407793
2025-08-01,10,14.279251965546878,998,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,3.310642458567456,9.290774890334792,22.532396363983477,25.10982210260456,18.302393029691974,16.589763307034637,19.647958769465912
2025-08-01,11,5.463397208793953,1034,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,34.690836652501424,10.884276907814158,3.018501271263184,24.647897094169885,10.418880909438826,14.829953306674343,15.805194356040712
2025-08-01,12,6.004568134647567,1094,0,1,8,4,213,31,0,0,night,0.0,1.0,-0.5012418134457756,-0.8653072543632061,9.4220577280454,7.73238678803654,2.703595294422739,8.120049137265525,7.76366712708471,10.734423523037327,10.764362345450081
